Job Title,Company,Location,Via,Age,Time,Link
Cloud Security Architect,SickKids,"Toronto, ON",via BeBee Canada,2 days ago,Full-time,https://g.co/kgs/8NjdRw
Security Architect - Toronto,Randstad,"Toronto, ON",via Indeed,3 days ago,$78.19–$81.59 an hour,https://g.co/kgs/KXE9WV
Cybersecurity Architect,Centennial College,"Toronto, ON",via Trabajo.org,1 day ago,Full-time,https://g.co/kgs/eyXkso
Security Architect,Quantum Technology Recruiting Inc. (QTR),"Toronto, ON",via LinkedIn,15 hours ago,Contractor,https://g.co/kgs/Dcg2E6
Security Architect,AGF Management Limited,"Toronto, ON",via Indeed,1 day ago,Full-time,https://g.co/kgs/Dcg2E6
Cybersecurity Architect,CGI,"Toronto, ON",via ZipRecruiter,18 hours ago,Full-time,https://g.co/kgs/eyXkso
Cyber Security Architect,MRINetwork Jobs,"Toronto, ON",via Monster.ca,1 day ago,Full-time,https://g.co/kgs/QWQxFv
Senior Infrastructure Architect,Bevertec,"Toronto, ON",via Talent.com,1 day ago,Full-time,https://g.co/kgs/XYZk8x
Senior Security Architect,Kubra Canada,"Brampton, ON",via Learn4Good.com,1 day ago,Full-time,https://g.co/kgs/cDxeHx
