Job Title,Company,Location,Via,Age,Time,Link
Senior Solution Architect,Bell,"Mississauga, ON",via Jobs@Bell,2 days ago,Full-time,https://g.co/kgs/jGZieM
Solutions Architect,CG Consulting Group Inc.,"Toronto, ON",via LinkedIn,13 hours ago,Full-time,https://g.co/kgs/Hpe68X
"Senior Solution Architect – Remote, Canada",edjuster Inc.,"Toronto, ON",via LinkedIn,13 hours ago,Contractor,https://g.co/kgs/CiGMSu
Software/Web Solutions Architect - FHIR Health Gateway Portal,Total Systems Solutions Consulting Inc.,"Toronto, ON",via Glassdoor,1 day ago,$229K an hour,https://g.co/kgs/pWBGdk
Senior Consultant - Finance - Tagetik Solution Architect,EY,"Toronto, ON",via EY Careers,1 day ago,Full-time,https://g.co/kgs/kVXzoh
Principal Solutions Architect,Comcast,"Toronto, ON",via Indeed,9 hours ago,Full-time,https://g.co/kgs/qRGWmo
Solutions Architect,Ducen,"Toronto, ON",via LinkedIn,1 day ago,$70 an hour,https://g.co/kgs/Hpe68X
Data Solutions Architect,Lightspeed Commerce,"Toronto, ON",via Greenhouse,2 days ago,Full-time,https://g.co/kgs/ttEZjF
Solutions Architect - Payments,CG Consulting Group Inc.,"Toronto, ON",via LinkedIn,13 hours ago,Full-time,https://g.co/kgs/ZSK1qQ
